2464,6
2465,3
2466,2
2467,1
2468,2
2469,6
2470,1
2471,2
2472,8
2473,2
2474,7
2475,1
2476,8
2477,8
2478,1
2479,1
2480,6
2481,6
2482,2
2483,2
2484,3
2485,5
2486,3
2487,1
2488,7
2489,6
2490,5
2491,2
2492,1
2493,6
2494,7
2495,4
2496,5
2497,3
2498,3
2499,2
2500,5
2501,2
2502,1
2503,2
2504,7
2505,1
2506,1
2507,6
2508,2
2509,6
2510,7
2511,5
2512,1
2513,1
2514,6
2515,4
2516,3
2517,6
2518,3
2519,7
2520,4
2521,4
2522,8
2523,4
2524,4
2525,3
2526,7
2527,5
2528,1
2529,2
2530,5
2531,6
2532,5
2533,3
2534,1
2535,8
2536,7
2537,5
2538,5
2539,2
2540,3
2541,5
2542,3
2543,4
2544,5
2545,7
2546,6
2547,1
2548,7
2549,7
2550,6
2551,4
2552,4
2553,3
2554,8
2555,6
2556,2
2557,3
2558,1
2559,5
2560,8
2561,7
2562,2
2563,7
2564,7
2565,8
2566,1
2567,8
2568,6
2569,5
2570,1
2571,8
2572,2
2573,1
2574,4
2575,8
2576,8
2577,2
2578,5
2579,1
2580,8
2581,6
2582,3
2583,3
2584,7
2585,3
2586,4
2587,2
2588,3
2589,6
2590,8
2591,1
2592,2
2593,4
2594,2
2595,3
2596,7
2597,1
2598,7
2599,4
2600,7
2601,2
2602,8
2603,5
2604,6
2605,4
2606,2
2607,6
2608,5
2609,4
2610,4
2611,7
2612,1
2613,2
2614,2
2615,1
2616,5
2617,3
2618,4
2619,2
2620,5
2621,1
2622,2
2623,6
2624,5
2625,8
2626,2
2627,3
2628,1
2629,4
2630,2
2631,1
2632,4
2633,3
2634,3
2635,8
2636,8
2637,2
2638,1
2639,1
2640,2
2641,4
2642,3
2643,7
2644,5
2645,2
2646,1
2647,1
2648,2
2649,7
2650,8
2651,4
2652,3
2653,6
2654,8
2655,2
2656,5
2657,6
2658,3
2659,3
2660,7
2661,8
2662,4
2663,8
2664,2
2665,7
2666,3
2667,6
2668,7
2669,6
2670,1
2671,2
2672,2
2673,1
2674,7
2675,3
2676,8
2677,2
2678,8
2679,3
2680,3
2681,3
2682,8
2683,1
2684,4
2685,3
2686,2
2687,3
2688,6
2689,4
2690,1
2691,5
2692,3
2693,6
2694,8
2695,8
2696,6
2697,1
2698,2
2699,7
2700,3
2701,7
2702,2
2703,3
2704,6
2705,1
2706,1
2707,4
2708,6
2709,5
2710,2
2711,8
2712,4
2713,8
2714,4
2715,4
2716,3
2717,3
2718,6
2719,1
2720,5
2721,4
2722,7
2723,8
2724,5
2725,7
2726,4
2727,8
2728,4
2729,6
2730,1
2731,7
2732,2
2733,1
2734,4
2735,7
2736,6
2737,1
2738,3
2739,4
2740,5
2741,2
2742,8
2743,7
2744,8
2745,6
2746,8
2747,7
2748,3
2749,8
2750,3
2751,4
2752,2
2753,1
2754,1
2755,4
2756,2
2757,8
2758,5
2759,1
2760,8
2761,1
2762,2
2763,4
2764,8
2765,5
2766,3
2767,5
2768,1
2769,4
2770,6
2771,7
2772,8
2773,6
2774,3
2775,4
2776,5
2777,1
2778,6
2779,1
2780,3
2781,7
2782,8
2783,7
2784,5
2785,2
2786,6
2787,8
2788,8
2789,1
2790,2
2791,4
2792,6
2793,5
2794,6
2795,8
2796,1
2797,3
2798,6
2799,3
2800,6
2801,5
2802,2
2803,7
2804,3
2805,2
2806,6
2807,1
2808,6
2809,4
2810,4
2811,2
2812,5
2813,2
2814,7
2815,4
2816,4
2817,8
2818,1
2819,7
2820,1
2821,3
2822,3
2823,1
2824,7
2825,2
2826,2
2827,5
2828,8
2829,2
2830,3
2831,4
2832,5
2833,6
2834,3
2835,6
2836,1
2837,4
2838,3
2839,5
2840,4
2841,4
2842,4
2843,5
2844,1
2845,2
2846,3
2847,7
2848,7
2849,5
2850,5
2851,5
2852,7
2853,4
2854,4
2855,1
2856,5
2857,3
2858,3
2859,5
2860,1
2861,3
2862,1
2863,7
2864,4
2865,1
2866,6
2867,8
2868,4
2869,4
2870,4
2871,1
2872,4
2873,4
2874,5
2875,2
2876,4
2877,8
2878,3
2879,8
2880,7
2881,4
2882,7
2883,8
2884,8
2885,7
2886,5
2887,2
2888,8
2889,4
2890,6
2891,8
2892,5
2893,3
2894,7
2895,5
2896,1
2897,7
2898,1
2899,4
2900,8
2901,5
2902,5
2903,2
2904,2
2905,8
2906,5
2907,3
2908,8
2909,7
2910,1
2911,1
2912,2
2913,6
2914,8
2915,1
2916,1
2917,5
2918,3
2919,4
2920,6
2921,2
2922,3
2923,5
2924,8
2925,6
2926,7
2927,1
2928,5
2929,6
2930,6
2931,8
2932,4
2933,8
2934,4
2935,3
2936,1
2937,3
2938,5
2939,3
2940,4
2941,6
2942,8
2943,4
2944,2
2945,2
2946,2
2947,8
2948,3
2949,2
2950,1
2951,6
2952,2
2953,5
2954,8
2955,2
2956,5
2957,2
2958,1
2959,3
2960,5
2961,2
2962,7
2963,3
2964,1
2965,7
2966,5
2967,1
2968,4
2969,6
2970,4
2971,3
2972,4
2973,2
2974,6
2975,3
2976,7
2977,6
2978,8
2979,4
2980,1
2981,8
2982,3
2983,2
2984,5
2985,4
2986,4
2987,1
2988,4
2989,5
2990,3
2991,3
2992,3
2993,2
2994,5
2995,7
2996,6
2997,1
2998,5
2999,5
3000,4
3001,1
3002,5
3003,8
3004,7
3005,4
3006,2
3007,2
3008,4
3009,3
3010,5
3011,6
3012,2
3013,2
3014,2
3015,3
3016,6
3017,5
3018,2
3019,1
3020,7
3021,4
3022,1
3023,3
3024,6
3025,2
3026,5
3027,4
3028,1
3029,8
3030,1
3031,3
3032,2
3033,6
3034,2
3035,5
3036,1
3037,6
3038,4
3039,4
3040,1
3041,2
3042,4
3043,8
3044,4
3045,4
3046,3
3047,1
3048,7
3049,4
3050,3
3051,2
3052,8
3053,4
3054,2
3055,4
3056,3
3057,5
3058,6
3059,5
3060,4
3061,7
3062,8
3063,7
3064,3
3065,3
3066,6
3067,4
3068,1
3069,3
3070,2
3071,7
3072,6
3073,4
3074,1
3075,3
3076,2
3077,8
3078,7
3079,4
3080,7
3081,7
3082,4
3083,7
3084,2
3085,4
3086,1
3087,6
3088,6
3089,7
3090,4
3091,1
3092,2
3093,1
3094,4
3095,8
3096,7
3097,2
3098,3
3099,4
3100,7
3101,3
3102,4
3103,3
3104,5
3105,6
3106,3
3107,6
3108,3
3109,6
3110,2
3111,8
3112,2
3113,5
3114,3
3115,1
3116,8
3117,5
3118,4
3119,4
3120,6
3121,3
3122,5
3123,8
3124,1
3125,7
3126,7
3127,1
3128,5
3129,4
3130,5
3131,2
3132,2
3133,5
3134,5
3135,4
3136,5
3137,8
3138,2
3139,1
3140,6
3141,1
3142,4
3143,3
3144,7
3145,4
3146,1
3147,5
3148,1
3149,5
3150,7
3151,3
3152,3
3153,4
3154,8
3155,1
3156,8
3157,4
3158,7
3159,8
3160,1
3161,4
3162,1
3163,5
3164,3
3165,7
3166,2
3167,6
3168,1
3169,8
3170,1
3171,7
3172,6
3173,1
3174,1
3175,4
3176,6
3177,4
3178,7
3179,1
3180,5
3181,1
3182,7
3183,5
3184,8
3185,8
3186,4
3187,5
3188,3
3189,7
3190,7
3191,7
3192,3
3193,5
3194,5
3195,5
3196,7
3197,6
3198,3
3199,7
3200,7
3201,5
3202,7
3203,8
3204,5
3205,7
3206,8
3207,4
3208,3
3209,1
3210,8
3211,6
3212,4
3213,5
3214,3
3215,7
3216,4
3217,6
3218,2
3219,1
3220,8
3221,8
3222,1
3223,2
3224,7
3225,5
3226,8
3227,7
3228,7
3229,7
3230,1
3231,1
3232,6
3233,5
3234,5
3235,7
3236,1
3237,3
3238,7
3239,4
3240,4
3241,3
3242,5
3243,8
3244,5
3245,5
3246,8
3247,4
3248,3
3249,5
3250,8
3251,7
3252,8
3253,4
3254,1
3255,8
3256,7
3257,1
3258,6
3259,4
3260,1
3261,5
3262,7
3263,5
3264,2
3265,8
3266,3
3267,8
3268,7
3269,5
3270,6
3271,1
3272,8
3273,7
3274,1
3275,1
3276,8
3277,7
3278,4
3279,3
3280,8
3281,6
3282,7
3283,6
3284,7
3285,4
3286,8
3287,2
3288,4
3289,8
3290,3
3291,1
3292,8
3293,3
3294,1
3295,7
3296,8
3297,5
3298,6
3299,3
3300,2
3301,2
3302,8
3303,5
3304,3
3305,1
3306,4
3307,6
3308,6
3309,5
3310,5
3311,2
3312,2
3313,6
3314,2
3315,2
3316,3
3317,1
3318,5
3319,7
3320,7
3321,5
3322,1
3323,2
3324,1
3325,5
3326,8
3327,8
3328,6
3329,1
3330,6
3331,8
3332,7
3333,3
3334,5
3335,1
3336,1
3337,4
3338,2
3339,7
3340,1
3341,2
3342,4
3343,8
3344,6
3345,3
3346,8
3347,5
3348,1
3349,7
3350,2
3351,8
3352,2
3353,4
3354,7
3355,5
3356,5
3357,5
3358,3
3359,4
3360,1
3361,4
3362,4
3363,4
3364,1
3365,3
3366,7
3367,2
3368,3
3369,6
3370,8
3371,8
3372,6
3373,4
3374,4
3375,7
3376,1
3377,2
